user_id,lock_id,sale_datetime,sale_id,gross_profit
4697678,26397404,2022-10-31 20:23:42,1631968,1386.69
4796164,27227095,2022-12-06 00:17:06,1675735,520.51
4916906,25498255,2022-10-05 13:11:14,1603242,-342.32
4919292,26150907,2022-10-28 18:25:15,1631956,1546.36
4968897,27173159,2022-12-06 21:40:09,1675289,-184.41
4979355,25261506,2022-09-30 18:10:43,1591345,200.17
4983041,25784199,2022-10-13 15:10:23,1603282,91.05
5061286,25042999,2022-10-03 19:24:11,1590853,354.33
5069308,25332843,2022-09-29 16:16:21,1592315,893.87
5131200,25903481,2022-10-24 00:27:19,1624738,1138.75
5186166,25123400,2022-09-27 20:46:44,1592296,1190.92
5260800,27105447,2022-11-30 00:20:16,1675721,475.44
5273994,25876657,2022-10-28 22:32:54,1622114,621.08
5299262,25404188,2022-10-12 19:14:17,1603270,277.42
5405895,26678635,2022-11-10 23:34:51,1642348,-50.88
5424561,26339285,2022-10-29 04:21:42,1624703,934.45
5555686,27412425,2022-12-12 16:12:59,1675845,-88.33
5572720,26117581,2022-10-30 18:44:58,1632011,-152.34
5602142,26661229,2022-11-10 05:08:24,1639625,250.89
5625934,26136835,2022-10-29 12:45:06,1624688,483.68
5630934,27580292,2022-12-21 01:45:05,1687236,-104.07
5716719,26927407,2022-12-15 20:08:50,1683362,337.26
5783124,26290392,2022-11-08 23:34:30,1642390,385.45
5809120,26668413,2022-11-10 15:31:47,1642370,24.11
5856879,25383541,2022-09-27 21:49:31,1592299,1087.01
5858603,25499100,2022-09-30 18:29:43,1603284,52.02
5976303,25871567,2022-10-16 16:52:26,1608820,-35.88
6007115,25535924,2022-10-03 15:26:48,1591343,353.38
6182065,25457314,2022-09-28 23:31:16,1592406,497.41
6431120,26444861,2022-11-03 19:28:07,1639342,689.42
6505483,26024064,2022-10-18 14:46:13,1610801,438.24
6522259,25114559,2022-10-04 12:19:38,1592318,242.48
6598299,26134904,2022-10-22 00:38:22,1617151,207.18
6616831,26787153,2022-11-18 20:51:00,1652933,1000.01
6671173,27438076,2022-12-20 15:44:53,1682605,691.87
6775442,26257615,2022-11-01 18:17:02,1631970,-68.35
6851634,25503225,2022-10-01 14:15:25,1592288,1055.9
6895814,25783510,2022-10-11 18:58:49,1603259,-105.51
6989912,27293186,2022-12-07 16:26:40,1673617,1444.66
7049641,26238183,2022-10-29 17:41:59,1624721,600.75
7064121,25440531,2022-09-29 19:48:35,1592307,44.2
7077170,27673974,2022-12-25 15:04:11,1688652,-72.3
7093613,27432377,2022-12-13 13:35:34,1675872,998.11
7096472,27354721,2022-12-12 21:25:13,1675861,-107.09
7108180,25227227,2022-09-30 13:34:51,1592523,1661.16
7257943,26549741,2022-11-07 14:59:10,1643784,1012.9
7306228,25299605,2022-09-28 04:18:49,1591878,842.11
7327625,25877821,2022-10-25 05:45:15,1624239,119.92
7393232,26046437,2022-10-21 19:23:03,1631996,150.68
7466449,27357601,2022-12-11 01:18:22,1675811,-163.36
7468198,27623522,2022-12-23 16:18:25,1686132,-42.35
7499742,26370176,2022-10-31 03:08:01,1631919,40.07
7500062,26319975,2022-10-30 16:56:10,1624691,-293.29
7506926,25508029,2022-09-30 19:19:58,1592561,-125.57
7538913,25376683,2022-10-01 00:52:37,1591669,1039.87
7553062,25466678,2022-09-30 03:35:50,1591337,752.69
7573778,25477567,2022-10-02 20:41:40,1592450,831.33
7591483,26174027,2022-10-23 20:18:40,1632021,464.9
7863282,27756072,2022-12-28 20:17:09,1688284,688.68
7865888,26432816,2022-11-02 01:13:14,1642386,-209.51
7892740,25402679,2022-09-27 04:25:06,1592567,-283.89
7982961,25481588,2022-09-29 20:38:12,1592638,-373.98
8015256,24965500,2022-09-13 22:03:23,1590360,638.25
8019963,25799799,2022-10-11 18:21:27,1608804,-129.6
8021806,25266168,2022-09-23 21:23:52,1592377,1516.59
8022087,25247547,2022-09-26 15:44:01,1592361,1043.31
8065358,25754807,2022-10-09 15:27:16,1616888,375.91
8096233,26562636,2022-11-18 13:51:28,1652909,1002.0
8242719,27663544,2022-12-24 22:04:25,1686164,1339.31
8276657,25329897,2022-09-27 17:18:19,1591893,21.49
8283497,25076330,2022-09-15 05:05:22,1592384,-141.14
8307224,27550331,2022-12-23 22:22:52,1686149,67.8
8363137,25426064,2022-09-30 13:00:28,1592527,150.76
8525414,27445279,2022-12-13 21:51:03,1675890,31.12
8588945,25537749,2022-10-01 21:16:36,1592403,252.36
8663301,26749713,2022-11-15 00:50:51,1648753,3.27
8712053,26707272,2022-11-11 22:14:10,1642007,38.41
8836179,26142078,2022-10-26 21:46:03,1624676,420.52
9192229,26003895,2022-10-26 12:12:24,1622971,-40.95
9206368,26122990,2022-10-29 02:43:03,1624702,395.43
9257585,27579750,2022-12-23 06:33:51,1687593,-109.67
9368237,27305678,2022-12-09 22:40:15,1675795,-139.61
9390972,25305732,2022-09-23 21:33:37,1590629,1234.61
9416162,27530066,2022-12-21 13:49:30,1685584,564.55
9456606,25429110,2022-10-03 18:11:02,1591714,410.2
9519055,26165126,2022-10-25 17:43:26,1631923,671.99
9571808,27341587,2022-12-09 03:55:17,1673652,-49.58
9572569,27328404,2022-12-10 19:55:01,1675809,1030.97
9618441,26885512,2022-11-18 20:44:22,1652932,420.52
9737329,27389194,2022-12-13 17:14:08,1675879,-185.74
9745446,27331639,2022-12-08 22:41:47,1674927,-401.83
9786381,27654150,2022-12-23 16:30:19,1686767,-73.31
9863554,27413770,2022-12-19 15:09:40,1681868,-76.82
9891881,25377020,2022-09-30 00:07:57,1591335,440.82
9949592,26254383,2022-10-29 19:39:34,1624723,53.73
10066993,27346358,2022-12-13 20:29:03,1675887,1166.45
10084343,25314950,2022-09-28 18:23:11,1591067,1449.02
10433356,27437922,2022-12-15 14:30:25,1687210,501.13
10438210,25735069,2022-10-08 19:34:15,1608651,21.46
10494108,25471960,2022-09-30 23:21:17,1591310,1240.63
10511797,25230214,2022-10-03 14:10:49,1590141,-184.39
10740825,25503507,2022-10-01 16:25:17,1592396,357.91
10747328,26543030,2022-11-05 23:45:04,1641893,901.56
10937550,25421727,2022-09-28 20:47:35,1592648,-13.36
10964345,26528792,2022-11-05 13:49:24,1639032,814.47
10966920,25448454,2022-09-28 20:25:27,1592427,992.59
11013832,27372601,2022-12-11 03:27:09,1675814,405.28
11075580,27426792,2022-12-13 03:36:09,1681721,192.65
11106871,27267571,2022-12-12 20:27:48,1675854,1634.49
11153433,25388499,2022-09-30 19:47:59,1592723,577.93
11289739,27597966,2022-12-21 00:52:53,1687233,3.73
11387081,25196386,2022-09-20 14:36:23,1591305,-217.48
11471954,26315278,2022-10-31 23:26:26,1639345,282.34
11475600,27647987,2022-12-23 05:09:26,1687592,63.52
11502958,25489269,2022-09-30 01:02:35,1592460,1091.9
11528490,24043656,2022-09-27 21:28:35,1592709,2188.64
11544269,25490176,2022-09-30 01:20:30,1591336,614.07
11579743,25315792,2022-09-23 22:49:40,1592726,198.86
11597494,27671089,2022-12-26 18:02:43,1688206,-354.78
11742672,25452713,2022-09-29 19:36:51,1591332,70.27
11751638,27276255,2022-12-19 18:26:31,1687223,-36.41
11777862,26265360,2022-10-30 19:22:03,1632013,200.68
11785830,25478131,2022-10-04 15:13:12,1592320,44.05
11906306,25411618,2022-09-29 17:27:43,1592442,-430.09
11943091,26879223,2022-11-18 15:38:35,1652917,-72.73
